reg_no | sem | branch_code | subject_code | subject_name | subject_type | credit | old_shown_grade | new_shown_grade | should_be_grade | shown_gp | corrected_gp | delta_points | new_ese | new_ia | new_total | old_result_url | new_result_url
22101144026 | II | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | theory | 1.00 | F | P | D | 5 | 6 | 1.00 | 34^ | 22 | 56 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101144026 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101144026&exam_held=November%2F2025
22101144046 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 38^ | 21 | 59 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101144046 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101144046&exam_held=November%2F2025
22101144053 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 28^ | 24 | 52 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101144053 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101144053&exam_held=November%2F2025
22101144053 | II | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | theory | 1.00 | F | P | D | 5 | 6 | 1.00 | 32^ | 21 | 53 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101144053 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101144053&exam_held=November%2F2025
22101145026 | II | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | theory | 1.00 | F | P | D | 5 | 6 | 1.00 | 43^ | 14 | 57 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101145026 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101145026&exam_held=November%2F2025
22101145034 | II | 101 | 100203 | CHEMISTRY | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 43^ | 15 | 58 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101145034 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101145034&exam_held=November%2F2025
22101145040 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 38^ | 18 | 56 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101145040 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101145040&exam_held=November%2F2025
22101145040 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | C | B | 7 | 8 | 4.00 | 51^ | 27 | 78 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101145040 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101145040&exam_held=November%2F2025
22101146015 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 25^ | 25 | 50 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101146015 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101146015&exam_held=November%2F2025
22101146033 | II | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | theory | 1.00 | F | P | D | 5 | 6 | 1.00 | 31^ | 25 | 56 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101146033 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101146033&exam_held=November%2F2025
22101146036 | II | 101 | 100203 | CHEMISTRY | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 31^ | 20 | 51 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101146036 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101146036&exam_held=November%2F2025
22101146038 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 32^ | 18 | 50 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101146038 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101146038&exam_held=November%2F2025
22101147007 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 37^ | 20 | 57 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101147007 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101147007&exam_held=November%2F2025
22101147044 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 25^ | 26 | 51 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101147044 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101147044&exam_held=November%2F2025
22101147052 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 25^ | 26 | 51 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101147052 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101147052&exam_held=November%2F2025
22101148024 | II | 101 | 100203 | CHEMISTRY | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 33^ | 18 | 51 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101148024 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101148024&exam_held=November%2F2025
22101148040 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | D | C | 6 | 7 | 3.00 | 34^ | 26 | 60 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101148040 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101148040&exam_held=November%2F2025
22101149016 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 35^ | 22 | 57 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101149016 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101149016&exam_held=November%2F2025
22101149032 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 29^ | 25 | 54 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101149032 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101149032&exam_held=November%2F2025
22101150007 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 36^ | 14 | 50 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101150007 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101150007&exam_held=November%2F2025
22101150013 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 37^ | 20 | 57 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101150013 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101150013&exam_held=November%2F2025
22101150041 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 38^ | 13 | 51 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101150041 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101150041&exam_held=November%2F2025
22101150067 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 40^ | 19 | 59 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101150067 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101150067&exam_held=November%2F2025
22101151007 | II | 101 | 100203 | CHEMISTRY | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 37^ | 19 | 56 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101151007 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101151007&exam_held=November%2F2025
22101151050 | II | 101 | 100206 | ENGLISH | theory | 2.00 | F | P | D | 5 | 6 | 2.00 | 30^ | 21 | 51 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101151050 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101151050&exam_held=November%2F2025
22101152022 | II | 101 | 100206 | ENGLISH | theory | 2.00 | F | D | C | 6 | 7 | 2.00 | 42^ | 24 | 66 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101152022 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101152022&exam_held=November%2F2025
22101152035 | II | 101 | 100203 | CHEMISTRY | theory | 4.00 | F | D | C | 6 | 7 | 4.00 | 36^ | 24 | 60 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101152035 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101152035&exam_held=November%2F2025
22101152053 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 26^ | 25 | 51 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101152053 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101152053&exam_held=November%2F2025
